2026-08-06 19:10:30 | INFO    | amr.request      | c302425a | GET /api/stats/overview → 200 (1.6ms) role=OPERATOR
2026-08-06 19:10:30 | INFO    | amr.request      | 92e13dda | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:10:30 | INFO    | amr.request      | b31c0111 | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:10:32 | INFO    | amr.ws           | -        | WS 해제 — 현재 1개 연결
2026-08-06 19:10:32 | INFO    | amr.ws           | -        | WS 접속 — 현재 2개 연결
2026-08-06 19:10:32 | INFO    | amr.ws           | -        | WS 해제 — 현재 1개 연결
2026-08-06 19:10:32 | INFO    | amr.request      | 98823e30 | GET /api/routes → 200 (9.0ms) role=OPERATOR
2026-08-06 19:10:32 | INFO    | amr.request      | 18af08ed | GET /api/stats/overview → 200 (8.8ms) role=OPERATOR
2026-08-06 19:10:32 | INFO    | amr.ws           | -        | WS 접속 — 현재 2개 연결
2026-08-06 19:10:32 | INFO    | amr.request      | b5782ded | GET /api/routes → 200 (8.7ms) role=OPERATOR
2026-08-06 19:10:32 | INFO    | amr.request      | 3d74c378 | GET /api/stats/overview → 200 (8.4ms) role=OPERATOR
2026-08-06 19:10:32 | INFO    | amr.ws           | -        | WS 구독 변경 → ['DETECTION', 'EVENT', 'LOG', 'MISSION_STATUS', 'ROBOT_STATUS', 'SUPPRESSION_STATUS']
2026-08-06 19:10:32 | INFO    | amr.request      | b88d5438 | GET /api/stats/overview → 200 (2.0ms) role=OPERATOR
2026-08-06 19:10:32 | INFO    | amr.request      | 81e285fc | GET /api/stats/overview → 200 (1.5ms) role=OPERATOR
2026-08-06 19:10:32 | INFO    | amr.request      | 19ea64f7 | GET /api/stats/overview → 200 (1.5ms) role=OPERATOR
2026-08-06 19:10:32 | INFO    | amr.request      | a1c2dddd | GET /api/stats/overview → 200 (1.5ms) role=OPERATOR
2026-08-06 19:10:32 | INFO    | amr.request      | 22af1730 | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:10:32 | INFO    | amr.request      | 8d28ab6f | GET /api/stats/overview → 200 (1.6ms) role=OPERATOR
2026-08-06 19:10:49 | INFO    | amr.request      | b478ada0 | OPTIONS /api/equipment → 200 (0.5ms) role=-
2026-08-06 19:10:49 | INFO    | amr.request      | 1c161bd5 | OPTIONS /api/equipment → 200 (0.5ms) role=-
2026-08-06 19:10:49 | INFO    | amr.request      | 3124ccfc | GET /api/equipment → 200 (3.5ms) role=OPERATOR
2026-08-06 19:10:50 | INFO    | amr.request      | 6eb9245a | GET /api/equipment → 200 (1.6ms) role=OPERATOR
2026-08-06 19:11:00 | INFO    | amr.request      | 4c2728b8 | GET /api/stats/overview → 200 (2.8ms) role=OPERATOR
2026-08-06 19:11:00 | INFO    | amr.request      | 43860c9f | GET /api/stats/overview → 200 (1.6ms) role=OPERATOR
2026-08-06 19:11:00 | INFO    | amr.request      | a17e73a8 | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:11:00 | INFO    | amr.request      | 98a1db4f | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:11:30 | INFO    | amr.request      | a2cec7ff | GET /api/stats/overview → 200 (3.6ms) role=OPERATOR
2026-08-06 19:11:30 | INFO    | amr.request      | f7883156 | GET /api/stats/overview → 200 (1.8ms) role=OPERATOR
2026-08-06 19:11:30 | INFO    | amr.request      | 552f6f30 | GET /api/stats/overview → 200 (1.3ms) role=OPERATOR
2026-08-06 19:11:30 | INFO    | amr.request      | 188baf80 | GET /api/stats/overview → 200 (1.8ms) role=OPERATOR
2026-08-06 19:12:00 | INFO    | amr.request      | 41cfae67 | GET /api/stats/overview → 200 (2.7ms) role=OPERATOR
2026-08-06 19:12:00 | INFO    | amr.request      | fee9c7aa | GET /api/stats/overview → 200 (2.1ms) role=OPERATOR
2026-08-06 19:12:00 | INFO    | amr.request      | e5da7a98 | GET /api/stats/overview → 200 (1.7ms) role=OPERATOR
2026-08-06 19:12:00 | INFO    | amr.request      | 9b67170b | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:12:30 | INFO    | amr.request      | ee49eea9 | GET /api/stats/overview → 200 (3.1ms) role=OPERATOR
2026-08-06 19:12:30 | INFO    | amr.request      | f840e927 | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:12:30 | INFO    | amr.request      | 3ac7dee9 | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:12:30 | INFO    | amr.request      | d451cc3f | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:13:00 | INFO    | amr.request      | 451949c8 | GET /api/stats/overview → 200 (3.2ms) role=OPERATOR
2026-08-06 19:13:00 | INFO    | amr.request      | 43c17489 | GET /api/stats/overview → 200 (1.3ms) role=OPERATOR
2026-08-06 19:13:00 | INFO    | amr.request      | 2e730bf5 | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:13:00 | INFO    | amr.request      | 6552869c | GET /api/stats/overview → 200 (0.9ms) role=OPERATOR
2026-08-06 19:13:30 | INFO    | amr.request      | 35e651a4 | GET /api/stats/overview → 200 (2.1ms) role=OPERATOR
2026-08-06 19:13:30 | INFO    | amr.request      | 62bdeecd | GET /api/stats/overview → 200 (1.3ms) role=OPERATOR
2026-08-06 19:13:30 | INFO    | amr.request      | 011f8a89 | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:13:30 | INFO    | amr.request      | 3072d1e6 | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:14:00 | INFO    | amr.request      | 2ea8847e | GET /api/stats/overview → 200 (2.7ms) role=OPERATOR
2026-08-06 19:14:00 | INFO    | amr.request      | 06fb9653 | GET /api/stats/overview → 200 (1.5ms) role=OPERATOR
2026-08-06 19:14:00 | INFO    | amr.request      | 23aeadcc | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:14:00 | INFO    | amr.request      | a406a1f4 | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:14:30 | INFO    | amr.request      | bef3ec27 | GET /api/stats/overview → 200 (2.8ms) role=OPERATOR
2026-08-06 19:14:30 | INFO    | amr.request      | c8f0e4e4 | GET /api/stats/overview → 200 (1.3ms) role=OPERATOR
2026-08-06 19:14:30 | INFO    | amr.request      | c44fa2fc | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:14:30 | INFO    | amr.request      | b4d57633 | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:15:00 | INFO    | amr.request      | a33b47c4 | GET /api/stats/overview → 200 (2.9ms) role=OPERATOR
